symbol,timestamp,open,high,low,close
EURUSD=X,2021-05-13,0.82804,0.82843,0.82325,0.82804
EURUSD=X,2021-05-12,0.82806,0.82970,0.82610,0.82809
EURUSD=X,2021-05-11,0.82339,0.82869,0.82321,0.82346
EURUSD=X,2021-05-10,0.82363,0.82474,0.82105,0.82370
EURUSD=X,2021-05-09,0.82193,0.82400,0.82140,0.82169
EURUSD=X,2021-05-06,0.82881,0.82968,0.82205,0.82882
EURUSD=X,2021-05-05,0.83292,0.83379,0.82851,0.83281
EURUSD=X,2021-05-04,0.83250,0.83431,0.83146,0.83235
EURUSD=X,2021-05-03,0.82926,0.83333,0.82922,0.82946
EURUSD=X,2021-05-02,0.83163,0.83236,0.82813,0.83160
EURUSD=X,2021-04-29,0.82478,0.83174,0.82467,0.82474
EURUSD=X,2021-04-28,0.82403,0.82621,0.82312,0.82414
EURUSD=X,2021-04-27,0.82726,0.82939,0.82634,0.82727
EURUSD=X,2021-04-26,0.82788,0.82946,0.82714,0.82785
EURUSD=X,2021-04-25,0.82723,0.82905,0.82529,0.82720
EURUSD=X,2021-04-22,0.83219,0.83251,0.82813,0.83235
EURUSD=X,2021-04-21,0.83074,0.83311,0.82862,0.83075
EURUSD=X,2021-04-20,0.83119,0.83340,0.83039,0.83109
EURUSD=X,2021-04-19,0.83039,0.83153,0.82795,0.83056
EURUSD=X,2021-04-18,0.83561,0.83738,0.83009,0.83556
EURUSD=X,2021-04-15,0.83539,0.83682,0.83382,0.83546
EURUSD=X,2021-04-14,0.83473,0.83632,0.83383,0.83449
EURUSD=X,2021-04-13,0.83661,0.83682,0.83490,0.83655
EURUSD=X,2021-04-12,0.83949,0.84148,0.83677,0.83951
EURUSD=X,2021-04-11,0.84066,0.84235,0.83907,0.84044
EURUSD=X,2021-04-08,0.83927,0.84259,0.83893,0.83926
EURUSD=X,2021-04-07,0.84237,0.84310,0.83965,0.84239
EURUSD=X,2021-04-06,0.84211,0.84289,0.83938,0.84220
EURUSD=X,2021-04-05,0.84612,0.84774,0.84366,0.84625
EURUSD=X,2021-04-04,0.84993,0.85193,0.84641,0.84976
EURUSD=X,2021-04-01,0.84911,0.85099,0.84846,0.84911
EURUSD=X,2021-03-31,0.85263,0.85368,0.84934,0.85278
EURUSD=X,2021-03-30,0.85310,0.85448,0.85044,0.85303
EURUSD=X,2021-03-29,0.84972,0.85379,0.84934,0.84973
EURUSD=X,2021-03-28,0.84839,0.85026,0.84796,0.84838
EURUSD=X,2021-03-25,0.84918,0.84947,0.84717,0.84918
